id,monto,cantidad,categoria,region,descuento
1,129.93,29,Deportes,Oeste,0.05
2,,30,Deportes,Oeste,0.01
3,4048.11,,Ropa,Este,0.35
4,1902.74,45,Deportes,Oeste,0.4
5,1469.43,47,,Este,0.35
6,4277.31,49,Alimentos,Este,0.32
7,3419.32,82,Hogar,Centro,0.36
8,1624.79,8,Alimentos,,0.02
9,2838.06,28,Hogar,Sur,0.2
10,2809.03,75,Ropa,Norte,0.29
11,4306.21,21,,Oeste,0.21
12,4855.54,2,Alimentos,Este,0.06
13,2176.65,93,Ropa,Norte,0.13
14,1495.73,78,Deportes,Centro,0.19
15,102.29,40,Electronica,Oeste,0.12
16,4890.03,17,Alimentos,Centro,0.24
17,1062.93,94,Alimentos,Centro,0.36
18,1243.29,3,Electronica,Norte,0.12
19,4527.57,10,Deportes,Centro,0.14
20,1218.77,53,Hogar,Norte,0.05
21,4920.91,52,Ropa,Oeste,0.4
22,921.52,10,Electronica,Centro,0.43
23,4845.14,31,Hogar,Sur,0.24
24,4926.62,59,Deportes,Oeste,0.35
25,1487.06,75,Electronica,Centro,0.03
26,2657.98,66,Ropa,Centro,0.09
27,2974.62,54,Alimentos,Este,0.28
28,1981.95,39,Electronica,Centro,0.46
29,370.94,34,,Este,0.17
30,4169.56,79,Deportes,Norte,0.4
31,675.78,14,Ropa,Sur,0.08
32,4265.3,33,Hogar,Norte,0.42
33,,82,Hogar,Norte,0.08
34,4416.12,70,Deportes,Sur,
35,,6,Electronica,Centro,0.11
36,2034.86,20,Ropa,Norte,0.12
37,4622.81,53,Alimentos,Norte,0.43
38,198.43,26,Ropa,Sur,0.23
39,1396.62,99,Deportes,Norte,0.32
40,4852.15,34,Alimentos,Este,
41,4921.26,74,Deportes,Centro,0.02
42,4701.61,26,Alimentos,Norte,0.03
43,1505.11,53,Ropa,Oeste,0.35
44,4514.51,39,Ropa,Centro,0.42
45,1614.63,87,Ropa,Este,0.24
46,3166.54,97,Ropa,,0.16
47,2378.31,10,Hogar,Sur,0.44
48,3439.67,99,Deportes,Centro,0.39
49,4242.44,60,Hogar,Centro,0.49
50,4534.74,21,Ropa,Este,0.24
51,2608.89,36,Alimentos,Centro,0.36
52,758.4,20,Deportes,Norte,0.03
53,2103.62,75,Deportes,Norte,0.01
54,1496.57,54,Ropa,Este,0.37
55,149.98,87,Ropa,Centro,0.36
56,,73,Hogar,Este,0.04
57,1062.24,98,Hogar,Norte,0.14
58,3746.38,45,Electronica,Sur,0.03
59,106.8,17,Hogar,Este,0.06
60,3038.2,15,Deportes,,0.08
61,3388.35,51,Ropa,Este,0.1
62,3004.06,73,Alimentos,,0.17
63,68.2,63,Hogar,Oeste,0.48
64,2611.13,79,Hogar,Centro,0.27
65,4259.31,12,Deportes,Oeste,0.23
66,2474.06,63,Deportes,Este,0.4
67,2585.55,31,Hogar,Oeste,0.24
68,91.13,52,Hogar,Este,0.15
69,3730.95,90,Ropa,Centro,0.15
70,3452.37,95,Deportes,Norte,0.36
71,1484.75,39,Alimentos,,
72,1464.22,82,Deportes,Oeste,0.25
73,925.9,62,Deportes,Norte,0.03
74,4056.65,11,Deportes,Centro,0.06
75,2615.25,57,Deportes,Centro,0.29
76,500.67,81,Ropa,Sur,0.33
77,,77,Alimentos,Oeste,0.02
78,1170.95,81,Electronica,Sur,0.4
79,4134.02,22,Alimentos,Oeste,0.3
80,3500.17,65,Hogar,Centro,0.22
81,461.18,74,Alimentos,Sur,0.01
82,3259.29,24,Electronica,Oeste,0.22
83,3352.32,43,Hogar,Centro,0.25
84,,33,Deportes,Norte,0.49
85,2715.26,25,Hogar,Sur,0.31
86,659.41,90,Ropa,Este,0.01
87,2763.5,15,Hogar,Este,0.06
88,1370.76,61,Deportes,Sur,0.28
89,1384.86,54,Electronica,Este,0.39
90,2901.72,20,Deportes,Este,0.24
91,4903.97,50,,Oeste,0.39
92,3320.13,20,Deportes,Norte,0.02
93,2204.33,59,Ropa,,
94,1328.79,51,Deportes,Este,0.43
95,4437.76,70,,Este,
96,3735.1,13,Ropa,Norte,0.35
97,,38,Hogar,Sur,0.22
98,399.45,80,Ropa,Este,0.25
99,3335.87,60,Hogar,Centro,0.34
100,4810.34,59,Hogar,Oeste,0.1
101,2876.19,38,Hogar,Centro,
102,3892.67,78,Ropa,Este,0.42
103,954.71,97,Electronica,Norte,0.33
104,2206.91,94,Hogar,Sur,0.45
105,4382.92,65,Hogar,Este,0.42
106,1696.88,10,Hogar,Centro,0.48
107,3954.46,,Alimentos,Este,0.23
108,1172.94,,Ropa,Oeste,0.28
109,1514.44,18,,Norte,
110,4436.86,59,Deportes,Sur,0.47
111,3276.33,79,,Oeste,0.48
112,1184.38,88,Electronica,Sur,0.45
113,4745.31,12,Electronica,,0.32
114,4944.16,27,Ropa,Sur,0.38
115,742.03,1,Deportes,Sur,0.49
116,4332.91,46,Ropa,Sur,0.12
117,2632.8,61,Hogar,Centro,0.18
118,,85,Electronica,Oeste,0.23
119,544.27,57,Electronica,Centro,0.04
120,2744.04,77,Electronica,Norte,0.23
121,3256.33,93,Hogar,Oeste,0.22
122,3649.41,41,Hogar,,0.19
123,470.68,95,,Centro,0.07
124,615.55,86,Electronica,Centro,0.21
125,522.48,20,Deportes,Este,0.11
126,4037.07,99,Electronica,Este,0.31
127,,98,,Centro,0.17
128,352.58,4,Hogar,Este,0.27
129,1625.29,77,Deportes,,0.03
130,2218.35,78,Electronica,Norte,0.14
131,3394.04,86,Electronica,,0.11
132,1060.11,33,Hogar,Oeste,0.06
133,1154.4,86,Electronica,Oeste,0.04
134,4311.24,74,Hogar,,0.32
135,4007.6,89,Ropa,Oeste,0.04
136,1981.85,44,,Centro,0.39
137,4530.08,94,Electronica,Sur,0.32
138,768.58,10,Deportes,Oeste,0.39
139,4410.83,80,Hogar,,0.49
140,1517.59,8,Electronica,,0.04
